UNINUM,Number,Name,Address,County,City,State,Zip,Service.Type,Established.Date,Acquired.Date,X,Y
4137,8709,Christiansburg Main Branch,4 East Main Street,Montgomery,Christiansburg,VA,24073,Full Service Brick and Mortar Office,01/01/1888,03/20/2010,-80.4086086,37.1303556
4146,8639,Powhatan Branch,3901 Old Buckingham,Powhatan,Powhatan,VA,23139,Full Service Brick and Mortar Office,09/13/1922,03/20/2010,-77.91958,37.5434056
4585,7741,Bassett Branch,3559 Fairystone Park Hwy,Henry,Bassett,VA,24055,Full Service Brick and Mortar Office,01/01/1907,03/20/2010,-79.9916937,36.7590982
4605,7739,Galax Branch,300 N Main St,Galax City,Galax,VA,24333,Full Service Brick and Mortar Office,07/11/1907,03/20/2010,-80.9259148,36.6638967
4609,7778,Bridgewater Branch,500 North Main Street,Rockingham,Bridgewater,VA,22812,Full Service Brick and Mortar Office,03/15/1900,03/20/2010,-78.96998599999999,38.3866632
4617,8628,Charlottesville Main Branch,123 E. Main Street,Charlottesville City,Charlottesville,VA,22902,Full Service Brick and Mortar Office,01/01/1903,03/20/2010,-78.4807443,38.0308357
4632,8711,Poquoson Branch,2 Victory Boulevard,Poquoson City,Poquoson,VA,23662,Full Service Brick and Mortar Office,01/01/1922,03/20/2010,-76.3926216,37.1247344
4656,7802,Old Town Branch,201 N Loudoun Street,Winchester City,Winchester,VA,22601,Full Service Brick and Mortar Office,01/01/1866,03/20/2010,-78.1650384,39.186623
8042,7878,Saint Paul Street Branch,7 Saint Paul Street,Baltimore City,Baltimore,MD,21202,Full Service Brick and Mortar Office,01/01/1795,03/20/2010,-76.6136973,39.29010040000001
8916,8637,Goochland Courthouse Branch,3018 River Road West,Goochland,Goochland,VA,23063,Full Service Brick and Mortar Office,01/01/1923,03/20/2010,-77.88498229999999,37.6877193
9404,8660,Washington Avenue Branch,2700 Washington Avenue,Newport News City,Newport News,VA,23607,Full Service Brick and Mortar Office,11/12/1934,03/20/2010,-76.4311073,36.9793129
9422,8687,Grant & Elden Branch,501 Elden Street,Fairfax,Herndon,VA,20170,Full Service Brick and Mortar Office,02/15/1935,03/20/2010,-77.37941049999999,38.9681868
10664,7594,Georgia Avenue Branch,8711 Georgia Avenue,Montgomery,Silver Spring,MD,20910,Full Service Brick and Mortar Office,11/18/1946,03/20/2010,-77.03004419999999,38.9982738
11953,7591,Congressional Plaza Branch,110 Congressional Lane,Montgomery,Rockville,MD,20852,Full Service Brick and Mortar Office,06/12/1959,03/20/2010,-77.1263503,39.0637464
12695,7570,14th & New York Branch,1350 New York Avenue Northwest,District Of Columbia,Washington,DC,20005,Full Service Brick and Mortar Office,07/23/1963,03/20/2010,-77.0313937,38.8992159
12792,7769,Mount Vernon Branch,7706 Richmond Hwy,Fairfax,Alexandria,VA,22306,Full Service Brick and Mortar Office,11/23/1963,03/20/2010,-77.08373189999999,38.7492034
12801,7792,Tyson's Plaza Branch,1753 Pinnacle Drive,Fairfax,Mclean,VA,22102,Full Service Brick and Mortar Office,10/01/1942,03/20/2010,-77.2285702,38.9207928
12854,7599,Towson-York Road Branch,501 York Road,Baltimore,Towson,MD,21204,Full Service Brick and Mortar Office,01/27/1964,03/20/2010,-76.6027744,39.4006867
12899,7768,Del Ray Branch,3506 Mt. Vernon Avenue,Alexandria City,Alexandria,VA,22305,Full Service Brick and Mortar Office,04/02/1964,03/20/2010,-77.0620454,38.837232
12996,7798,Woodlawn Branch,8770 Richmond Highway Rt 1,Fairfax,Alexandria,VA,22309,Full Service Brick and Mortar Office,07/09/1964,03/20/2010,-77.125466,38.7208543
13524,8681,Baileys Crossroads Branch,5797 Leesburg Pike,Fairfax,Falls Church,VA,22041,Full Service Brick and Mortar Office,07/03/1967,03/20/2010,-77.13164069999999,38.8507249
13672,8651,James Center Branch,1021 East Cary Street,Richmond City,Richmond,VA,23219,Full Service Brick and Mortar Office,01/02/1969,03/20/2010,-77.43557400000002,37.5362151
