UNINUM,Number,Name,Address,County,City,State,Zip,Service Type,Established Date,Acquired Date
42,8944,Florala Branch,22769 Lakeshore Boulevard,Covington,Florala,AL,36442,Full Service Brick and Mortar Office,01/01/1904,03/20/2010
92,7447,Madison Branch,200 W Base St,Madison,Madison,FL,32340,Full Service Brick and Mortar Office,02/02/1931,03/20/2010
94,7166,Springfield Branch,1601 Main Street,Duval,Jacksonville,FL,32206,Full Service Brick and Mortar Office,12/01/1925,03/20/2010
103,7285,Downtown Daytona Branch,130 North Ridgewood Avenue,Volusia,Daytona Beach,FL,32114,Full Service Brick and Mortar Office,07/02/1923,03/20/2010
104,7448,Perry Branch,200 West Main Street,Taylor,Perry,FL,32347,Full Service Brick and Mortar Office,04/24/1907,03/20/2010
105,9010,Crestview Branch,320 North Ferdon Boulevard,Okaloosa,Crestview,FL,32536,Full Service Brick and Mortar Office,01/01/1918,03/20/2010
106,7237,Haines City Branch,615 East Hinson Avenue,Polk,Haines City,FL,33844,Full Service Brick and Mortar Office,01/21/1913,03/20/2010
108,7387,Downtown Bradenton Branch,303 9th Street West,Manatee,Bradenton,FL,34205,Full Service Brick and Mortar Office,03/25/1925,03/20/2010
142,7099,Magnolia Street Branch,37 Magnolia Street,Fulton,Roswell,GA,30075,Full Service Brick and Mortar Office,03/01/1901,03/20/2010
182,4899,Jefferson Branch,200 West State Street,Greene,Jefferson,IA,50129,Full Service Brick and Mortar Office,03/03/1926,02/20/2004
190,4845,Atlantic Branch,600 Chestnut Street,Cass,Atlantic,IA,50022,Full Service Brick and Mortar Office,01/01/1933,02/20/2004
197,4849,Marion Branch,340 Seventh Avenue,Linn,Marion,IA,52302,Full Service Brick and Mortar Office,06/01/1900,02/20/2004
273,3681,Shelby Branch,131 Main Street,Toole,Shelby,MT,59474,Full Service Brick and Mortar Office,01/01/1917,11/21/2003
275,3676,Glasgow Branch,623 2nd Avenue South,Valley,Glasgow,MT,59230,Full Service Brick and Mortar Office,01/29/1917,11/21/2003
280,3698,Lewistown Branch,404 West Broadway Street,Fergus,Lewistown,MT,59457,Full Service Brick and Mortar Office,01/01/1930,11/21/2003
343,8072,Saucon Valley Branch,659 Main Street,Northampton,Hellertown,PA,18055,Full Service Brick and Mortar Office,04/03/1920,03/20/2010
373,6460,Jackson Town Square Branch,110 Center Street,Teton,Jackson,WY,83001,Full Service Brick and Mortar Office,07/22/1914,10/18/2008
381,8175,Carteret Branch,2 Holmes Street,Middlesex,Carteret,NJ,7008,Full Service Brick and Mortar Office,09/15/1923,03/20/2010
457,8082,Paoli Branch,24 East Lancaster Avenue,Chester,Paoli,PA,19301,Full Service Brick and Mortar Office,01/11/1927,03/20/2010
